section,line_item,fiscal_year,budgeted,actual
REVENUE,Property Taxes,2014,821863.0,846305.5
REVENUE,Property Taxes,2015,829678.0,664480.18
REVENUE,Property Taxes,2016,,
REVENUE,Miscelanous Income,2014,0.0,2653.8
REVENUE,Miscelanous Income,2015,0.0,823.39
REVENUE,Miscelanous Income,2016,,
REVENUE,Discounts Property Taxes,2014,-21000.0,-23787.0
REVENUE,Discounts Property Taxes,2015,-20000.0,-25456.52
REVENUE,Discounts Property Taxes,2016,,
REVENUE,Fund Balance Reduction,2014,27490.0,0.0
REVENUE,Fund Balance Reduction,2015,15050.0,0.0
REVENUE,Fund Balance Reduction,2016,,
REVENUE,Delinquent Interest,2014,5000.0,9713.61
REVENUE,Delinquent Interest,2015,4000.0,3256.01
REVENUE,Delinquent Interest,2016,,
REVENUE,Delinquent Penalty,2014,10000.0,10947.0
REVENUE,Delinquent Penalty,2015,12000.0,0.0
REVENUE,Delinquent Penalty,2016,,
REVENUE,Other Revenue,2014,0.0,149.46
REVENUE,Other Revenue,2015,0.0,0.0
REVENUE,Other Revenue,2016,,
REVENUE,Hold Harmless Payment,2014,47000.0,50871.0
REVENUE,Hold Harmless Payment,2015,51929.0,51871.0
REVENUE,Hold Harmless Payment,2016,,
REVENUE,Pilot Property Tax Payment,2014,32000.0,30782.2
REVENUE,Pilot Property Tax Payment,2015,32000.0,30976.65
REVENUE,Pilot Property Tax Payment,2016,,
REVENUE,Dogs,2014,0.0,1462.0
REVENUE,Dogs,2015,0.0,387.0
REVENUE,Dogs,2016,,
REVENUE,TownClerk Fees,2014,32000.0,14958.91
REVENUE,TownClerk Fees,2015,34000.0,10379.75
REVENUE,TownClerk Fees,2016,,
REVENUE,Railroad Tax,2014,1200.0,1669.68
REVENUE,Railroad Tax,2015,1600.0,0.0
REVENUE,Railroad Tax,2016,,
REVENUE,Town Hall Rental,2014,0.0,1946.0
REVENUE,Town Hall Rental,2015,0.0,905.0
REVENUE,Town Hall Rental,2016,,
REVENUE,Fire Dept.Service Fees,2014,0.0,0.0
REVENUE,Fire Dept.Service Fees,2015,0.0,570.0
REVENUE,Fire Dept.Service Fees,2016,,
REVENUE,State Aide - Highway,2014,110000.0,114741.4
REVENUE,State Aide - Highway,2015,114610.0,85957.81
REVENUE,State Aide - Highway,2016,,
REVENUE,Middlesex School Dist.,2014,4000.0,4000.0
REVENUE,Middlesex School Dist.,2015,4000.0,0.0
REVENUE,Middlesex School Dist.,2016,,
REVENUE,Zoning/Hearings,2014,0.0,3209.0
REVENUE,Zoning/Hearings,2015,0.0,2290.0
REVENUE,Zoning/Hearings,2016,,
REVENUE,Traffic Fines,2014,0.0,710.0
REVENUE,Traffic Fines,2015,0.0,560.95
REVENUE,Traffic Fines,2016,,
REVENUE,Interest,2014,2000.0,2235.62
REVENUE,Interest,2015,2000.0,1404.0
REVENUE,Interest,2016,,
REVENUE,Recreation Committee,2014,,
REVENUE,Recreation Committee,2015,,1829.0
REVENUE,Recreation Committee,2016,,
REVENUE,Restoration TR Account,2014,,
REVENUE,Restoration TR Account,2015,,934.0
REVENUE,Restoration TR Account,2016,,
GENERAL GOVERNMENT,Selectboard Salary,2014,3150,3150
GENERAL GOVERNMENT,Selectboard Salary,2015,3150,0
GENERAL GOVERNMENT,Selectboard Salary,2016,3213,
GENERAL GOVERNMENT,Selectboard Clerk,2014,18989,18576.25
GENERAL GOVERNMENT,Selectboard Clerk,2015,18084,8956.89
GENERAL GOVERNMENT,Selectboard Clerk,2016,18450,
GENERAL GOVERNMENT,Selectboard Clerk Asst,2014,0,126
GENERAL GOVERNMENT,Selectboard Clerk Asst,2015,0,869.6
GENERAL GOVERNMENT,Selectboard Clerk Asst,2016,0,
GENERAL GOVERNMENT,Advertising/Printing,2014,2300,121.73
GENERAL GOVERNMENT,Advertising/Printing,2015,2300,1560.22
GENERAL GOVERNMENT,Advertising/Printing,2016,2300,
GENERAL GOVERNMENT,Selectboard Courses,2014,0,60
GENERAL GOVERNMENT,Selectboard Courses,2015,0,0
GENERAL GOVERNMENT,Selectboard Courses,2016,0,
GENERAL GOVERNMENT,Discretionary Fund,2014,11000,7640.74
GENERAL GOVERNMENT,Discretionary Fund,2015,11000,820.31
GENERAL GOVERNMENT,Discretionary Fund,2016,10000,
GENERAL GOVERNMENT,Legal Fees,2014,3000,392.7
GENERAL GOVERNMENT,Legal Fees,2015,4000,725.5
GENERAL GOVERNMENT,Legal Fees,2016,4000,
GENERAL GOVERNMENT,Town Report,2014,4000,2239.75
GENERAL GOVERNMENT,Town Report,2015,3000,0
GENERAL GOVERNMENT,Town Report,2016,3000,
