section,line_item,fiscal_year,budgeted,actual
General Government,Selectboard Salary,2011,3150,3150
General Government,Selectboard Salary,2012,3150,0
General Government,Selectboard Salary,2013,3150,
General Government,Selectboard Clerk,2011,18000,17984
General Government,Selectboard Clerk,2012,18270,10317
General Government,Selectboard Clerk,2013,18544,
General Government,Advertising/Printing,2011,1500,1667
General Government,Advertising/Printing,2012,1500,1381
General Government,Advertising/Printing,2013,1700,
General Government,Discretionary Fund,2011,5000,4368
General Government,Discretionary Fund,2012,9000,3993
General Government,Discretionary Fund,2013,9000,
General Government,Legal Fees,2011,5000,348
General Government,Legal Fees,2012,3000,1756
General Government,Legal Fees,2013,3000,
General Government,Town Report,2011,4000,3660
General Government,Town Report,2012,4000,0
General Government,Town Report,2013,3200,
General Government,VLCT Dues,2011,2478,2478
General Government,VLCT Dues,2012,2532,2562
General Government,VLCT Dues,2013,2577,
General Government,County Tax,2011,15477,15477
General Government,County Tax,2012,12783,12783
General Government,County Tax,2013,14347,
General Government,CV Solid Waste,2011,5800,3631
General Government,CV Solid Waste,2012,3744,3738
General Government,CV Solid Waste,2013,3800,
General Government,CV Reg Planning Comm,2011,1968,1968
General Government,CV Reg Planning Comm,2012,1968,1968
General Government,CV Reg Planning Comm,2013,1818,
General Government,Conservation Commission,2011,1000,186
General Government,Conservation Commission,2012,1000,89
General Government,Conservation Commission,2013,1000,
General Government,Tree Warden,2011,500,0
General Government,Tree Warden,2012,100,0
General Government,Tree Warden,2013,100,
General Government,Elections,2011,2300,873
General Government,Elections,2012,1000,0
General Government,Elections,2013,1000,
General Government,School Payoff,2011,2170174,2125436
General Government,School Payoff,2012,2265340,1132670
General Government,School Payoff,2013,2265340,
Town Insurances,Workers Comp,2011,12000,10100
Town Insurances,Workers Comp,2012,9314,7937
Town Insurances,Workers Comp,2013,8000,
Town Insurances,Unemployment Comp,2011,1889,2192
Town Insurances,Unemployment Comp,2012,2492,1799
Town Insurances,Unemployment Comp,2013,1957,
Town Insurances,Property & Casualty,2011,19253,17919
Town Insurances,Property & Casualty,2012,18000,14201
Town Insurances,Property & Casualty,2013,16000,
Employee Benefits,Social Security,2011,15164,16060
Employee Benefits,Social Security,2012,14800,8528
Employee Benefits,Social Security,2013,15906,
Employee Benefits,Medicare,2011,3547,3756
Employee Benefits,Medicare,2012,3500,1994
Employee Benefits,Medicare,2013,3720,
Employee Benefits,Retirement,2011,10764,10935
Employee Benefits,Retirement,2012,10741,6272
Employee Benefits,Retirement,2013,11222,
Employee Benefits,Life Insurance,2011,300,992
Employee Benefits,Life Insurance,2012,832,866
Employee Benefits,Life Insurance,2013,860,
Employee Benefits,Health Insurance,2011,25567,21375
Employee Benefits,Health Insurance,2012,36742,16315
Employee Benefits,Health Insurance,2013,33000,
Employee Benefits,Long Term Disability,2011,0,0
Employee Benefits,Long Term Disability,2012,939,0
Employee Benefits,Long Term Disability,2013,950,
Administration,Clerk Salary,2011,37000,37015
Administration,Clerk Salary,2012,37555,21890
Administration,Clerk Salary,2013,38119,
Administration,Office Staff Salary,2011,12754,12910
Administration,Office Staff Salary,2012,13000,7352
Administration,Office Staff Salary,2013,13578,
Administration,Lister Wages,2011,7500,7266
Administration,Lister Wages,2012,5000,956
Administration,Lister Wages,2013,5000,
Administration,Clerical Mileage,2011,400,105
