section,line_item,fiscal_year,budgeted,actual
General Government,Wages: Selectboard,2020,3536,3536.33
General Government,Wages: Selectboard,2021,3642,
General Government,Wages: Selectboard,2022,3715,
General Government,Wages: Selectboard Clerk,2020,21382,21737.6
General Government,Wages: Selectboard Clerk,2021,22019,
General Government,Wages: Selectboard Clerk,2022,23328,
General Government,Wages: Payroll Tax(SS&MED),2020,2177,1848.31
General Government,Wages: Payroll Tax(SS&MED),2021,2242,
General Government,Wages: Payroll Tax(SS&MED),2022,2353,
General Government,Wages: Retirement,2020,1229,0.0
General Government,Wages: Retirement,2021,1321,
General Government,Wages: Retirement,2022,1458,
General Government,Insurance: Health,2020,6768,6998.71
General Government,Insurance: Health,2021,7646,
General Government,Insurance: Health,2022,7872,
General Government,Insurance: Property & Casuality,2020,10296,10301.08
General Government,Insurance: Property & Casuality,2021,11188,
General Government,Insurance: Property & Casuality,2022,8538,
General Government,Insurance: Workers Compensation,2020,1000,364.5
General Government,Insurance: Workers Compensation,2021,750,
General Government,Insurance: Workers Compensation,2022,863,
General Government,Insurance: Unemployment Comp,2020,154,43.92
General Government,Insurance: Unemployment Comp,2021,154,
General Government,Insurance: Unemployment Comp,2022,181,
General Government,Advertising/Printing,2020,1250,-18.26
General Government,Advertising/Printing,2021,600,
General Government,Advertising/Printing,2022,500,
General Government,Selectboard Courses,2020,200,0.0
General Government,Selectboard Courses,2021,200,
General Government,Selectboard Courses,2022,200,
General Government,Town Property Maintenance,2020,2000,2100.0
General Government,Town Property Maintenance,2021,2600,
General Government,Town Property Maintenance,2022,2500,
General Government,Welch Park,2020,1000,1001.02
General Government,Welch Park,2021,1000,
General Government,Welch Park,2022,500,
General Government,Discretionary Fund,2020,8000,2077.89
General Government,Discretionary Fund,2021,8000,
General Government,Discretionary Fund,2022,8000,
General Government,Legal Fees,2020,3000,874.4
General Government,Legal Fees,2021,2000,
General Government,Legal Fees,2022,2000,
General Government,Town Report,2020,3000,2454.94
General Government,Town Report,2021,2000,
General Government,Town Report,2022,2800,
General Government,VLCT Dues,2020,3097,3097.0
General Government,VLCT Dues,2021,3224,
General Government,VLCT Dues,2022,3224,
General Government,County Tax,2020,18149,18149.0
General Government,County Tax,2021,19000,
General Government,County Tax,2022,18500,
General Government,CV Solid Waste,2020,1757,1756.0
General Government,CV Solid Waste,2021,1738,
General Government,CV Solid Waste,2022,1724,
General Government,CV Reg Planning Comm,2020,2077,2077.2
General Government,CV Reg Planning Comm,2021,2184,
General Government,CV Reg Planning Comm,2022,2207,
General Government,Conservation Commission,2020,500,94.06
General Government,Conservation Commission,2021,500,
General Government,Conservation Commission,2022,500,
General Government,Elections,2020,1500,1707.53
General Government,Elections,2021,2500,
General Government,Elections,2022,1500,
General Government,Misc Expense,2020,500,420.47
General Government,Misc Expense,2021,500,
General Government,Misc Expense,2022,500,
General Government,Town Hall Building Fund (Moved from Town Hall),2020,0,0.0
General Government,Town Hall Building Fund (Moved from Town Hall),2021,10000,
General Government,Town Hall Building Fund (Moved from Town Hall),2022,10000,
General Government,Grant Match- Capital Plan,2020,0,0.0
General Government,Grant Match- Capital Plan,2021,0,
General Government,Grant Match- Capital Plan,2022,900,
General Government,Covid-19,2020,0,1881.32
General Government,Covid-19,2021,0,
General Government,Covid-19,2022,0,
General Government,Tax Abatements,2020,0,7.7
General Government,Tax Abatements,2021,0,
General Government,Tax Abatements,2022,0,
Administration,"Office: Wages (Clerk,Ass't Clerk,Treas,Bookeeper)",2020,54464,51778.28
Administration,"Office: Wages (Clerk,Ass't Clerk,Treas,Bookeeper)",2021,58293,
Administration,"Office: Wages (Clerk,Ass't Clerk,Treas,Bookeeper)",2022,93160,
Administration,Listers: Wages,2020,14420,12248.23
Administration,Listers: Wages,2021,29705,
Administration,Listers: Wages,2022,30302,
Administration,Delinquent Tax Collector: Wages,2020,2060,788.5
Administration,Delinquent Tax Collector: Wages,2021,3266,
Administration,Delinquent Tax Collector: Wages,2022,2837,
Administration,ADMIN: Payroll Tax (SS&MED),2020,5428,5165.42
Administration,ADMIN: Payroll Tax (SS&MED),2021,6982,
Administration,ADMIN: Payroll Tax (SS&MED),2022,9662,
Administration,ADMIN: Unemployment,2020,211,51.28
Administration,ADMIN: Unemployment,2021,217,
Administration,ADMIN: Unemployment,2022,470,
Administration,ADMIN: Retirement,2020,1183,2567.4
Administration,ADMIN: Retirement,2021,1271,
Administration,ADMIN: Retirement,2022,1403,
Administration,ADMIN:Insurance: Life/LTD/AD&D,2020,371,281.97
Administration,ADMIN:Insurance: Life/LTD/AD&D,2021,381,
Administration,ADMIN:Insurance: Life/LTD/AD&D,2022,381,
Administration,ADMIN: Insurance: Health,2020,6548,6238.76
Administration,ADMIN: Insurance: Health,2021,7346,
Administration,ADMIN: Insurance: Health,2022,7564,
Administration,ADMIN: Insurance: Workers Comp,2020,406,0.0
Administration,ADMIN: Insurance: Workers Comp,2021,387,
Administration,ADMIN: Insurance: Workers Comp,2022,425,
Administration,Office Supplies,2020,3500,2474.25
Administration,Office Supplies,2021,3500,
Administration,Office Supplies,2022,3000,
Administration,Equipment Repair,2020,0,34.21
Administration,Equipment Repair,2021,0,
Administration,Equipment Repair,2022,1000,
Administration,Equipment Purchase,2020,0,4448.67
Administration,Equipment Purchase,2021,0,
Administration,Equipment Purchase,2022,1000,
Administration,Lister Computer Upgrade,2020,0,0.0
Administration,Lister Computer Upgrade,2021,0,
Administration,Lister Computer Upgrade,2022,15000,
Administration,Telephone,2020,4800,4950.14
Administration,Telephone,2021,4800,
Administration,Telephone,2022,5000,
Administration,Postage,2020,3000,3124.0
Administration,Postage,2021,3000,
Administration,Postage,2022,3000,
Administration,Auditing,2020,7400,7650.0
Administration,Auditing,2021,7400,
Administration,Auditing,2022,8200,
Administration,Listing Mileage/Expenses,2020,2500,2990.91
Administration,Listing Mileage/Expenses,2021,3000,
