section,line_item,fiscal_year,budgeted,actual
GENERAL GOVERNMENT,Wages: Selectboard,2017,3213,3366
GENERAL GOVERNMENT,Wages: Selectboard,2018,3277,
GENERAL GOVERNMENT,Wages: Selectboard,2019,3434,
GENERAL GOVERNMENT,Wages: Payroll Tax,2017,,
GENERAL GOVERNMENT,Wages: Payroll Tax,2018,246,
GENERAL GOVERNMENT,Wages: Payroll Tax,2019,262,
GENERAL GOVERNMENT,Wages: Selectboard Clerk,2017,0,21962
GENERAL GOVERNMENT,Wages: Selectboard Clerk,2018,20032,
GENERAL GOVERNMENT,Wages: Selectboard Clerk,2019,20547,
GENERAL GOVERNMENT,Wages: Payroll Tax(SS&MED),2017,,
GENERAL GOVERNMENT,Wages: Payroll Tax(SS&MED),2018,1533,
GENERAL GOVERNMENT,Wages: Payroll Tax(SS&MED),2019,1572,
GENERAL GOVERNMENT,Wages: Retirement,2017,,
GENERAL GOVERNMENT,Wages: Retirement,2018,1102,
GENERAL GOVERNMENT,Wages: Retirement,2019,1130,
GENERAL GOVERNMENT,Insurance: Health,2017,,
GENERAL GOVERNMENT,Insurance: Health,2018,7500,
GENERAL GOVERNMENT,Insurance: Health,2019,5876,
GENERAL GOVERNMENT,Insurance: Property & Casuality,2017,,
GENERAL GOVERNMENT,Insurance: Property & Casuality,2018,9000,
GENERAL GOVERNMENT,Insurance: Property & Casuality,2019,9825,
GENERAL GOVERNMENT,Insurance: Workers Compensation,2017,,
GENERAL GOVERNMENT,Insurance: Workers Compensation,2018,400,
GENERAL GOVERNMENT,Insurance: Workers Compensation,2019,386,
GENERAL GOVERNMENT,Insurance: Unemployment Comp,2017,,
GENERAL GOVERNMENT,Insurance: Unemployment Comp,2018,100,
GENERAL GOVERNMENT,Insurance: Unemployment Comp,2019,154,
GENERAL GOVERNMENT,Advertising/Printing,2017,2300,831
GENERAL GOVERNMENT,Advertising/Printing,2018,1500,
GENERAL GOVERNMENT,Advertising/Printing,2019,1500,
GENERAL GOVERNMENT,Selectboard Courses,2017,0,240
GENERAL GOVERNMENT,Selectboard Courses,2018,0,
GENERAL GOVERNMENT,Selectboard Courses,2019,0,
GENERAL GOVERNMENT,Town Property Maintenance,2017,0,315
GENERAL GOVERNMENT,Town Property Maintenance,2018,0,
GENERAL GOVERNMENT,Town Property Maintenance,2019,0,
GENERAL GOVERNMENT,Welch Park,2017,0,0
GENERAL GOVERNMENT,Welch Park,2018,0,
GENERAL GOVERNMENT,Welch Park,2019,1000,
GENERAL GOVERNMENT,Discretionary Fund,2017,2800,1639
GENERAL GOVERNMENT,Discretionary Fund,2018,5000,
GENERAL GOVERNMENT,Discretionary Fund,2019,5000,
GENERAL GOVERNMENT,Legal Fees,2017,4000,796
GENERAL GOVERNMENT,Legal Fees,2018,4000,
GENERAL GOVERNMENT,Legal Fees,2019,4000,
GENERAL GOVERNMENT,Town Report,2017,2500,2761
GENERAL GOVERNMENT,Town Report,2018,2900,
GENERAL GOVERNMENT,Town Report,2019,2950,
GENERAL GOVERNMENT,VLCT Dues,2017,2854,2854
GENERAL GOVERNMENT,VLCT Dues,2018,2953,
GENERAL GOVERNMENT,VLCT Dues,2019,3017,
GENERAL GOVERNMENT,County Tax,2017,16605,16605
GENERAL GOVERNMENT,County Tax,2018,16924,
GENERAL GOVERNMENT,County Tax,2019,17401,
GENERAL GOVERNMENT,CV Solid Waste,2017,3514,1756
GENERAL GOVERNMENT,CV Solid Waste,2018,1757,
GENERAL GOVERNMENT,CV Solid Waste,2019,1757,
GENERAL GOVERNMENT,CV Reg Planning Comm,2017,1904,1904
GENERAL GOVERNMENT,CV Reg Planning Comm,2018,1904,
GENERAL GOVERNMENT,CV Reg Planning Comm,2019,1956,
GENERAL GOVERNMENT,Conservation Commission,2017,500,455
GENERAL GOVERNMENT,Conservation Commission,2018,500,
GENERAL GOVERNMENT,Conservation Commission,2019,500,
GENERAL GOVERNMENT,Elections,2017,3800,3259
GENERAL GOVERNMENT,Elections,2018,600,
GENERAL GOVERNMENT,Elections,2019,2500,
GENERAL GOVERNMENT,Misc Expense,2017,,3
GENERAL GOVERNMENT,Misc Expense,2018,0,
GENERAL GOVERNMENT,Misc Expense,2019,0,
GENERAL GOVERNMENT,Tax Abatements,2017,0,83
GENERAL GOVERNMENT,Tax Abatements,2018,0,
GENERAL GOVERNMENT,Tax Abatements,2019,0,
TOWN INSURANCES,Workers Comp,2017,20000,18067
TOWN INSURANCES,Workers Comp,2018,0,
TOWN INSURANCES,Workers Comp,2019,0,
TOWN INSURANCES,Unemployment Comp,2017,750,554
TOWN INSURANCES,Unemployment Comp,2018,0,
TOWN INSURANCES,Unemployment Comp,2019,0,
TOWN INSURANCES,Property & Casualty,2017,27000,26644
TOWN INSURANCES,Property & Casualty,2018,0,
TOWN INSURANCES,Property & Casualty,2019,0,
EMPLOYEE BENEFITS,Social Security,2017,16700,14270
EMPLOYEE BENEFITS,Social Security,2018,0,
EMPLOYEE BENEFITS,Social Security,2019,0,
EMPLOYEE BENEFITS,Medicare,2017,3906,3337
EMPLOYEE BENEFITS,Medicare,2018,0,
EMPLOYEE BENEFITS,Medicare,2019,0,
EMPLOYEE BENEFITS,Retirement,2017,12810,12825
EMPLOYEE BENEFITS,Retirement,2018,0,
EMPLOYEE BENEFITS,Retirement,2019,0,
EMPLOYEE BENEFITS,Life/ADD Insurance,2017,3312,291
EMPLOYEE BENEFITS,Life/ADD Insurance,2018,0,
EMPLOYEE BENEFITS,Life/ADD Insurance,2019,0,
EMPLOYEE BENEFITS,Health Insurance,2017,37300,38530
EMPLOYEE BENEFITS,Health Insurance,2018,0,
EMPLOYEE BENEFITS,Health Insurance,2019,0,
EMPLOYEE BENEFITS,Long Term Disability,2017,,909
EMPLOYEE BENEFITS,Long Term Disability,2018,0,
EMPLOYEE BENEFITS,Long Term Disability,2019,0,
ADMINISTRATION,"Office: Wages (Clerk,Ass't Clerk,Treas,Bookeeper)",2017,74320,43846
ADMINISTRATION,"Office: Wages (Clerk,Ass't Clerk,Treas,Bookeeper)",2018,45000,
ADMINISTRATION,"Office: Wages (Clerk,Ass't Clerk,Treas,Bookeeper)",2019,51709,
ADMINISTRATION,O/S: Payroll Tax (SS&MED),2017,,
ADMINISTRATION,O/S: Payroll Tax (SS&MED),2018,3433,
ADMINISTRATION,O/S: Payroll Tax (SS&MED),2019,3956,
ADMINISTRATION,O/S: Retirement,2017,,
ADMINISTRATION,O/S: Retirement,2018,1102,
ADMINISTRATION,O/S: Retirement,2019,1087,
ADMINISTRATION,O/S: Unemployment,2017,,
ADMINISTRATION,O/S: Unemployment,2018,0,
ADMINISTRATION,O/S: Unemployment,2019,211,
ADMINISTRATION,O/S Insurance: Health,2017,,
ADMINISTRATION,O/S Insurance: Health,2018,7500,
ADMINISTRATION,O/S Insurance: Health,2019,5645,
ADMINISTRATION,O/S Insurance: Life/LTD/AD&D,2017,,
ADMINISTRATION,O/S Insurance: Life/LTD/AD&D,2018,480,
ADMINISTRATION,O/S Insurance: Life/LTD/AD&D,2019,371,
ADMINISTRATION,O/S Insurance: Workers Comp,2017,,
ADMINISTRATION,O/S Insurance: Workers Comp,2018,0,
ADMINISTRATION,O/S Insurance: Workers Comp,2019,386,
ADMINISTRATION,Listers: Wages,2017,0,5548
ADMINISTRATION,Listers: Wages,2018,7500,
ADMINISTRATION,Listers: Wages,2019,12219,
ADMINISTRATION,Listers Payroll Tax (SS&MED),2017,,
ADMINISTRATION,Listers Payroll Tax (SS&MED),2018,1050,
ADMINISTRATION,Listers Payroll Tax (SS&MED),2019,935,
ADMINISTRATION,Delinquent Tax Collector: Wages,2017,,
ADMINISTRATION,Delinquent Tax Collector: Wages,2018,0,
ADMINISTRATION,Delinquent Tax Collector: Wages,2019,2510,
ADMINISTRATION,Del Tax Collector: Payroll Taxes,2017,,
ADMINISTRATION,Del Tax Collector: Payroll Taxes,2018,0,
ADMINISTRATION,Del Tax Collector: Payroll Taxes,2019,211,
ADMINISTRATION,Clerical Mileage,2017,0,0
ADMINISTRATION,Clerical Mileage,2018,0,
ADMINISTRATION,Clerical Mileage,2019,0,
ADMINISTRATION,Office Supplies,2017,2800,2478
ADMINISTRATION,Office Supplies,2018,3500,
ADMINISTRATION,Office Supplies,2019,3500,
ADMINISTRATION,Equipment Repair,2017,0,0
ADMINISTRATION,Equipment Repair,2018,0,
ADMINISTRATION,Equipment Repair,2019,0,
ADMINISTRATION,Equipment Purchase,2017,500,0
ADMINISTRATION,Equipment Purchase,2018,0,
ADMINISTRATION,Equipment Purchase,2019,0,
ADMINISTRATION,Telephone,2017,4400,4467
ADMINISTRATION,Telephone,2018,4800,
ADMINISTRATION,Telephone,2019,4800,
ADMINISTRATION,Postage,2017,3000,2738
ADMINISTRATION,Postage,2018,3000,
ADMINISTRATION,Postage,2019,3000,
ADMINISTRATION,Auditing,2017,4000,6950
ADMINISTRATION,Auditing,2018,7200,
ADMINISTRATION,Auditing,2019,7200,
