section,line_item,fiscal_year,budgeted,actual
REVENUE,Property Taxes,2013,795326,810945
REVENUE,Property Taxes,2014,821853,
REVENUE,Property Taxes,2015,,
REVENUE,State Aid - Highways,2013,114968,114946
REVENUE,State Aid - Highways,2014,110000,
REVENUE,State Aid - Highways,2015,,
REVENUE,Interest on Investments,2013,5000,2294
REVENUE,Interest on Investments,2014,2000,
REVENUE,Interest on Investments,2015,,
REVENUE,School Reimbursement,2013,4000,4000
REVENUE,School Reimbursement,2014,4000,
REVENUE,School Reimbursement,2015,,
REVENUE,Licenses and Fees,2013,20000,27223
REVENUE,Licenses and Fees,2014,32000,
REVENUE,Licenses and Fees,2015,,
REVENUE,Penalty & Interest on Delinquent Taxes,2013,15000,18714
REVENUE,Penalty & Interest on Delinquent Taxes,2014,15000,
REVENUE,Penalty & Interest on Delinquent Taxes,2015,,
REVENUE,State Aid - Railroad Tax,2013,1295,1295
REVENUE,State Aid - Railroad Tax,2014,1200,
REVENUE,State Aid - Railroad Tax,2015,,
REVENUE,State Land Use/Pilot,2013,80598,80604
REVENUE,State Land Use/Pilot,2014,79000,
REVENUE,State Land Use/Pilot,2015,,
REVENUE,Other,2013,4000,17710
REVENUE,Other,2014,6500,
REVENUE,Other,2015,,
REVENUE,TOTAL REVENUE,2013,1040187,1077731
REVENUE,TOTAL REVENUE,2014,1071553,
REVENUE,TOTAL REVENUE,2015,,
GENERAL GOVERNMENT,Selectboard Salary,2013,3150,3150
GENERAL GOVERNMENT,Selectboard Salary,2014,3150,
GENERAL GOVERNMENT,Selectboard Salary,2015,3150,
GENERAL GOVERNMENT,Selectboard Clerk,2013,18544,15262
GENERAL GOVERNMENT,Selectboard Clerk,2014,18989,
GENERAL GOVERNMENT,Selectboard Clerk,2015,18084,
GENERAL GOVERNMENT,Advertising/Printing,2013,1700,1947
GENERAL GOVERNMENT,Advertising/Printing,2014,2300,
GENERAL GOVERNMENT,Advertising/Printing,2015,2300,
GENERAL GOVERNMENT,Selectboard Courses,2013,0,0
GENERAL GOVERNMENT,Selectboard Courses,2014,0,
GENERAL GOVERNMENT,Selectboard Courses,2015,,
GENERAL GOVERNMENT,Discretionary Fund,2013,9000,9000
GENERAL GOVERNMENT,Discretionary Fund,2014,11000,
GENERAL GOVERNMENT,Discretionary Fund,2015,11000,
GENERAL GOVERNMENT,Legal Fees,2013,3000,5117
GENERAL GOVERNMENT,Legal Fees,2014,3000,
GENERAL GOVERNMENT,Legal Fees,2015,4000,
GENERAL GOVERNMENT,Town Report,2013,3200,3558
GENERAL GOVERNMENT,Town Report,2014,4000,
GENERAL GOVERNMENT,Town Report,2015,3000,
GENERAL GOVERNMENT,VLCT Dues,2013,2577,2577
GENERAL GOVERNMENT,VLCT Dues,2014,2541,
GENERAL GOVERNMENT,VLCT Dues,2015,2600,
GENERAL GOVERNMENT,County Tax,2013,14347,14247
GENERAL GOVERNMENT,County Tax,2014,15161,
GENERAL GOVERNMENT,County Tax,2015,14247,
GENERAL GOVERNMENT,CV Solid Waste,2013,3800,1731
GENERAL GOVERNMENT,CV Solid Waste,2014,1731,
GENERAL GOVERNMENT,CV Solid Waste,2015,1735,
GENERAL GOVERNMENT,CV Reg Planning Comm,2013,1818,1818
GENERAL GOVERNMENT,CV Reg Planning Comm,2014,1818,
GENERAL GOVERNMENT,CV Reg Planning Comm,2015,1818,
GENERAL GOVERNMENT,Conservation Commission,2013,1000,168
GENERAL GOVERNMENT,Conservation Commission,2014,1000,
GENERAL GOVERNMENT,Conservation Commission,2015,500,
GENERAL GOVERNMENT,Tree Warden,2013,100,0
GENERAL GOVERNMENT,Tree Warden,2014,100,
GENERAL GOVERNMENT,Tree Warden,2015,100,
GENERAL GOVERNMENT,Elections,2013,1000,490
GENERAL GOVERNMENT,Elections,2014,400,
GENERAL GOVERNMENT,Elections,2015,550,
GENERAL GOVERNMENT,Misc. Expense,2013,0,108
GENERAL GOVERNMENT,Misc. Expense,2014,0,
GENERAL GOVERNMENT,Misc. Expense,2015,0,
GENERAL GOVERNMENT,Tax Abatements,2013,0,0
GENERAL GOVERNMENT,Tax Abatements,2014,0,
GENERAL GOVERNMENT,Tax Abatements,2015,0,
GENERAL GOVERNMENT,Total GENERAL GOVERNMENT,2013,63236,59172
GENERAL GOVERNMENT,Total GENERAL GOVERNMENT,2014,65190,
GENERAL GOVERNMENT,Total GENERAL GOVERNMENT,2015,63084,
TOWN INSURANCES,Workers Comp,2013,8000,11027
TOWN INSURANCES,Workers Comp,2014,9000,
TOWN INSURANCES,Workers Comp,2015,11909,
TOWN INSURANCES,Unemployment Comp,2013,1957,1378
