section,line_item,fiscal_year,budgeted,actual
General Government,Wages: Selectboard,2015,3150,3150
General Government,Wages: Selectboard,2016,3213,
General Government,Wages: Selectboard,2017,3213,
General Government,Wages: Selectboard Clerk,2015,18084,19777
General Government,Wages: Selectboard Clerk,2016,18450,
General Government,Wages: Selectboard Clerk,2017,0,
General Government,Advertising/Printing,2015,2300,2227
General Government,Advertising/Printing,2016,2300,
General Government,Advertising/Printing,2017,2300,
General Government,Selectboard Courses,2015,0,60
General Government,Selectboard Courses,2016,0,
General Government,Selectboard Courses,2017,0,
General Government,Discretionary Fund,2015,11000,820
General Government,Discretionary Fund,2016,10000,
General Government,Discretionary Fund,2017,2800,
General Government,Legal Fees,2015,4000,3408
General Government,Legal Fees,2016,4000,
General Government,Legal Fees,2017,4000,
General Government,Town Report,2015,3000,2037
General Government,Town Report,2016,3000,
General Government,Town Report,2017,2500,
General Government,VLCT Dues,2015,2600,2750
General Government,VLCT Dues,2016,2827,
General Government,VLCT Dues,2017,2854,
General Government,County Tax,2015,14247,15348
General Government,County Tax,2016,15602,
General Government,County Tax,2017,16605,
General Government,CV Solid Waste,2015,1735,1735
General Government,CV Solid Waste,2016,1757,
General Government,CV Solid Waste,2017,3514,
General Government,CV Reg Planning Comm,2015,1818,1904
General Government,CV Reg Planning Comm,2016,1904,
General Government,CV Reg Planning Comm,2017,1904,
General Government,Conservation Commission,2015,500,378
General Government,Conservation Commission,2016,500,
General Government,Conservation Commission,2017,500,
General Government,Tree Warden,2015,100,0
General Government,Tree Warden,2016,0,
General Government,Tree Warden,2017,0,
General Government,Elections,2015,550,678
General Government,Elections,2016,450,
General Government,Elections,2017,3800,
General Government,Misc. Expense,2015,0,145
General Government,Misc. Expense,2016,0,
General Government,Misc. Expense,2017,0,
General Government,Tax Abatements,2015,0,455
General Government,Tax Abatements,2016,0,
General Government,Tax Abatements,2017,0,
Town Insurances,Workers Comp,2015,11909,15971
Town Insurances,Workers Comp,2016,13000,
Town Insurances,Workers Comp,2017,20000,
Town Insurances,Unemployment Comp,2015,1488,608
Town Insurances,Unemployment Comp,2016,1500,
Town Insurances,Unemployment Comp,2017,750,
Town Insurances,Property & Casualty,2015,13853,17970
Town Insurances,Property & Casualty,2016,22000,
Town Insurances,Property & Casualty,2017,27000,
Employee Benefits,Social Security,2015,16500,14510
Employee Benefits,Social Security,2016,16500,
Employee Benefits,Social Security,2017,16700,
Employee Benefits,Medicare,2015,4000,3394
Employee Benefits,Medicare,2016,3900,
Employee Benefits,Medicare,2017,3906,
Employee Benefits,Retirement,2015,12000,11264
Employee Benefits,Retirement,2016,12000,
Employee Benefits,Retirement,2017,12810,
Employee Benefits,Life/ADD Insurance,2015,2000,560
Employee Benefits,Life/ADD Insurance,2016,2000,
Employee Benefits,Life/ADD Insurance,2017,3312,
Employee Benefits,Health Insurance,2015,23550,30979
Employee Benefits,Health Insurance,2016,34500,
Employee Benefits,Health Insurance,2017,37300,
Administration,Wages: Office,2015,24607,20791
Administration,Wages: Office,2016,53353,
Administration,Wages: Office,2017,74320,
