section,line_item,fiscal_year,budgeted,actual
General Government,Wages: Selectboard,2024,3864.0,3863.91
General Government,Wages: Selectboard,2025,4018.0,
General Government,Wages: Selectboard,2026,3500.0,
General Government,Wages: Selectboard Clerk,2024,29633.0,27976.4
General Government,Wages: Selectboard Clerk,2025,30814.0,
General Government,Wages: Selectboard Clerk,2026,7500.0,
General Government,Wages: Fema Project Manager,2024,0.0,36645.0
General Government,Wages: Fema Project Manager,2025,0.0,
General Government,Wages: Fema Project Manager,2026,0.0,
General Government,Wages: Fema Wages,2024,0.0,6999.76
General Government,Wages: Fema Wages,2025,0.0,
General Government,Wages: Fema Wages,2026,9085.0,
General Government,Wages: Payroll Tax (SS&MED&ACT76),2024,2562.0,5704.21
General Government,Wages: Payroll Tax (SS&MED&ACT76),2025,2818.0,
General Government,Wages: Payroll Tax (SS&MED&ACT76),2026,1624.88,
General Government,Wages: Retirement,2024,2000.0,2180.47
General Government,Wages: Retirement,2025,2157.0,
General Government,Wages: Retirement,2026,543.75,
General Government,Insurance: Health,2024,8183.0,5757.54
General Government,Insurance: Health,2025,6273.0,
General Government,Insurance: Health,2026,7554.19,
General Government,Insurance: Property & Casuality,2024,8538.0,9350.5
General Government,Insurance: Property & Casuality,2025,8538.0,
General Government,Insurance: Property & Casuality,2026,4259.2,
General Government,Insurance: Directors & Officers,2024,0.0,0.0
General Government,Insurance: Directors & Officers,2025,0.0,
General Government,Insurance: Directors & Officers,2026,4818.86,
General Government,Insurance: Workers Compensation,2024,145.0,-595.86
General Government,Insurance: Workers Compensation,2025,370.0,
General Government,Insurance: Workers Compensation,2026,59.25,
General Government,Insurance: Unemployment Comp,2024,116.0,43.75
General Government,Insurance: Unemployment Comp,2025,70.0,
General Government,Insurance: Unemployment Comp,2026,72.52,
General Government,Advertising/Printing,2024,1000.0,142.34
General Government,Advertising/Printing,2025,1000.0,
General Government,Advertising/Printing,2026,1600.0,
General Government,Selectboard Courses,2024,0.0,40.0
General Government,Selectboard Courses,2025,0.0,
General Government,Selectboard Courses,2026,250.0,
General Government,Town Email & Meeting Expense,2024,1350.0,2582.53
General Government,Town Email & Meeting Expense,2025,1350.0,
General Government,Town Email & Meeting Expense,2026,2500.0,
General Government,Town Property Maintenance,2024,1000.0,671.8
General Government,Town Property Maintenance,2025,175.0,
General Government,Town Property Maintenance,2026,200.0,
General Government,Welch Park,2024,1000.0,1378.51
General Government,Welch Park,2025,0.0,
General Government,Welch Park,2026,0.0,
General Government,General Government,2024,0.0,1756.35
General Government,General Government,2025,0.0,
General Government,General Government,2026,0.0,
General Government,Discretionary Fund,2024,4000.0,179.0
General Government,Discretionary Fund,2025,4000.0,
General Government,Discretionary Fund,2026,4000.0,
General Government,Legal Fees,2024,7500.0,4301.06
General Government,Legal Fees,2025,5000.0,
General Government,Legal Fees,2026,7500.0,
General Government,Town Report,2024,4000.0,2867.26
General Government,Town Report,2025,4000.0,
General Government,Town Report,2026,4000.0,
General Government,VLCT Dues,2024,3443.0,3443.0
General Government,VLCT Dues,2025,3500.0,
General Government,VLCT Dues,2026,3700.0,
General Government,County Tax,2024,20573.0,19619.0
General Government,County Tax,2025,20573.0,
General Government,County Tax,2026,22630.3,
General Government,CV Solid Waste,2024,1724.0,1779.0
General Government,CV Solid Waste,2025,1800.0,
General Government,CV Solid Waste,2026,1900.0,
General Government,CV Reg Planning Comm,2024,2366.07,2366.07
General Government,CV Reg Planning Comm,2025,2366.0,
General Government,CV Reg Planning Comm,2026,2455.02,
General Government,Conservation Commission,2024,500.0,342.74
General Government,Conservation Commission,2025,500.0,
General Government,Conservation Commission,2026,500.0,
General Government,Elections,2024,2500.0,1753.13
General Government,Elections,2025,2000.0,
General Government,Elections,2026,2000.0,
General Government,Misc Expense,2024,250.0,16.75
General Government,Misc Expense,2025,250.0,
General Government,Misc Expense,2026,300.0,
General Government,Grant Matches,2024,2000.0,1559.7
General Government,Grant Matches,2025,2500.0,
General Government,Grant Matches,2026,3000.0,
General Government,VBB 2023 Loan Principal,2024,0.0,50000.0
General Government,VBB 2023 Loan Principal,2025,60000.0,
General Government,VBB 2023 Loan Principal,2026,60000.0,
General Government,VBB 2023 Loan Interest,2024,0.0,0.0
General Government,VBB 2023 Loan Interest,2025,0.0,
General Government,VBB 2023 Loan Interest,2026,0.0,
General Government,Tax Abatements,2024,0.0,23098.67
General Government,Tax Abatements,2025,7000.0,
General Government,Tax Abatements,2026,5000.0,
General Government,TOTAL GENERAL GOVERNMENT,2024,108247.07,215822.59
General Government,TOTAL GENERAL GOVERNMENT,2025,171072.0,
General Government,TOTAL GENERAL GOVERNMENT,2026,160552.97,
Administration,"Office: Wages(Clerk, Ass’t Clerk,Treas, Bookeep)",2024,90765.0,86713.58
Administration,"Office: Wages(Clerk, Ass’t Clerk,Treas, Bookeep)",2025,94396.0,
Administration,"Office: Wages(Clerk, Ass’t Clerk,Treas, Bookeep)",2026,116350.69,
Administration,Listers: Wages,2024,28357.0,23167.58
Administration,Listers: Wages,2025,18750.0,
Administration,Listers: Wages,2026,52610.88,
Administration,Delinquent Tax Collector: Wages,2024,2912.0,864.25
Administration,Delinquent Tax Collector: Wages,2025,2912.0,
Administration,Delinquent Tax Collector: Wages,2026,0.0,
Administration,ADMIN: Payroll Tax (SS & MED & ACT76),2024,9336.0,8285.96
Administration,ADMIN: Payroll Tax (SS & MED & ACT76),2025,9389.0,
Administration,ADMIN: Payroll Tax (SS & MED & ACT76),2026,13668.99,
Administration,ADMIN: Unemployment,2024,116.0,160.21
Administration,ADMIN: Unemployment,2025,175.0,
Administration,ADMIN: Unemployment,2026,168.19,
Administration,ADMIN: Retirement,2024,5482.0,5456.14
Administration,ADMIN: Retirement,2025,5912.0,
Administration,ADMIN: Retirement,2026,8171.52,
Administration,ADMIN:Insurance: Life/LTD/AD&D,2024,840.0,595.89
Administration,ADMIN:Insurance: Life/LTD/AD&D,2025,816.0,
Administration,ADMIN:Insurance: Life/LTD/AD&D,2026,816.0,
Administration,ADMIN: Insurance: Health,2024,28804.0,26975.16
Administration,ADMIN: Insurance: Health,2025,29276.0,
Administration,ADMIN: Insurance: Health,2026,34348.44,
Administration,ADMIN: Insurance: Workers Comp,2024,598.0,0.0
Administration,ADMIN: Insurance: Workers Comp,2025,1504.0,
Administration,ADMIN: Insurance: Workers Comp,2026,1410.22,
Administration,Office Supplies,2024,1500.0,2672.48
Administration,Office Supplies,2025,3600.0,
Administration,Office Supplies,2026,4000.0,
Administration,Equipment Repair,2024,1000.0,0.0
Administration,Equipment Repair,2025,1000.0,
Administration,Equipment Repair,2026,1000.0,
Administration,Equipment Purchase,2024,20000.0,0.0
Administration,Equipment Purchase,2025,10000.0,
Administration,Equipment Purchase,2026,13000.0,
