section,line_item,fiscal_year,budgeted,actual
GENERAL GOVERNMENT,Wages: Selectboard,2016,3213,3150
GENERAL GOVERNMENT,Wages: Selectboard,2017,3213,
GENERAL GOVERNMENT,Wages: Selectboard,2018,3277,
GENERAL GOVERNMENT,Wages: Payroll Tax,2016,,
GENERAL GOVERNMENT,Wages: Payroll Tax,2017,,
GENERAL GOVERNMENT,Wages: Payroll Tax,2018,246,
GENERAL GOVERNMENT,Wages: Selectboard Clerk*,2016,18450,20672
GENERAL GOVERNMENT,Wages: Selectboard Clerk*,2017,0,
GENERAL GOVERNMENT,Wages: Selectboard Clerk*,2018,20032,
GENERAL GOVERNMENT,Wages: Payroll Tax,2016,,
GENERAL GOVERNMENT,Wages: Payroll Tax,2017,,
GENERAL GOVERNMENT,Wages: Payroll Tax,2018,1533,
GENERAL GOVERNMENT,Wages: Unemployment,2016,,
GENERAL GOVERNMENT,Wages: Unemployment,2017,,
GENERAL GOVERNMENT,Wages: Unemployment,2018,100,
GENERAL GOVERNMENT,Wages: Retirement,2016,,
GENERAL GOVERNMENT,Wages: Retirement,2017,,
GENERAL GOVERNMENT,Wages: Retirement,2018,1102,
GENERAL GOVERNMENT,Insurance: Health,2016,,
GENERAL GOVERNMENT,Insurance: Health,2017,,
GENERAL GOVERNMENT,Insurance: Health,2018,7500,
GENERAL GOVERNMENT,Insurance: Property & Casuality,2016,,
GENERAL GOVERNMENT,Insurance: Property & Casuality,2017,,
GENERAL GOVERNMENT,Insurance: Property & Casuality,2018,9000,
GENERAL GOVERNMENT,Insurance: Workers Compensation,2016,,
GENERAL GOVERNMENT,Insurance: Workers Compensation,2017,,
GENERAL GOVERNMENT,Insurance: Workers Compensation,2018,400,
GENERAL GOVERNMENT,Advertising/Printing,2016,2300,623
GENERAL GOVERNMENT,Advertising/Printing,2017,2300,
GENERAL GOVERNMENT,Advertising/Printing,2018,1500,
GENERAL GOVERNMENT,Selectboard Courses,2016,0,60
GENERAL GOVERNMENT,Selectboard Courses,2017,0,
GENERAL GOVERNMENT,Selectboard Courses,2018,0,
GENERAL GOVERNMENT,Discretionary Fund,2016,10000,5133
GENERAL GOVERNMENT,Discretionary Fund,2017,2800,
GENERAL GOVERNMENT,Discretionary Fund,2018,5000,
GENERAL GOVERNMENT,Legal Fees,2016,4000,5208
GENERAL GOVERNMENT,Legal Fees,2017,4000,
GENERAL GOVERNMENT,Legal Fees,2018,4000,
GENERAL GOVERNMENT,Town Report,2016,3000,2778
GENERAL GOVERNMENT,Town Report,2017,2500,
GENERAL GOVERNMENT,Town Report,2018,2900,
GENERAL GOVERNMENT,VLCT Dues,2016,2827,2827
GENERAL GOVERNMENT,VLCT Dues,2017,2854,
GENERAL GOVERNMENT,VLCT Dues,2018,2953,
GENERAL GOVERNMENT,County Tax,2016,15602,15602
GENERAL GOVERNMENT,County Tax,2017,16605,
GENERAL GOVERNMENT,County Tax,2018,16924,
GENERAL GOVERNMENT,CV Solid Waste,2016,1757,1757
GENERAL GOVERNMENT,CV Solid Waste,2017,3514,
GENERAL GOVERNMENT,CV Solid Waste,2018,1757,
GENERAL GOVERNMENT,CV Reg Planning Comm,2016,1904,1904
GENERAL GOVERNMENT,CV Reg Planning Comm,2017,1904,
GENERAL GOVERNMENT,CV Reg Planning Comm,2018,1904,
GENERAL GOVERNMENT,Conservation Commission,2016,500,61
GENERAL GOVERNMENT,Conservation Commission,2017,500,
GENERAL GOVERNMENT,Conservation Commission,2018,500,
GENERAL GOVERNMENT,Elections,2016,450,1848
GENERAL GOVERNMENT,Elections,2017,3800,
GENERAL GOVERNMENT,Elections,2018,600,
GENERAL GOVERNMENT,Tax Abatements,2016,0,1688
GENERAL GOVERNMENT,Tax Abatements,2017,0,
GENERAL GOVERNMENT,Tax Abatements,2018,0,
TOWN INSURANCES,Workers Comp*,2016,13000,14959
TOWN INSURANCES,Workers Comp*,2017,20000,
TOWN INSURANCES,Workers Comp*,2018,,
TOWN INSURANCES,Unemployment Comp*,2016,1500,638
TOWN INSURANCES,Unemployment Comp*,2017,750,
TOWN INSURANCES,Unemployment Comp*,2018,,
TOWN INSURANCES,Property & Casualty*,2016,22000,24227
TOWN INSURANCES,Property & Casualty*,2017,27000,
TOWN INSURANCES,Property & Casualty*,2018,,
