section,line_item,fiscal_year,budgeted,actual
Administration,Telephone,2023,5000,
Administration,Postage,2021,3000,2302.35
Administration,Postage,2022,3000,
Administration,Postage,2023,3000,
Administration,Auditing,2021,7400,9106.25
Administration,Auditing,2022,8200,
Administration,Auditing,2023,9000,
Administration,Listing Mileage/Expenses,2021,3000,2528.07
Administration,Listing Mileage/Expenses,2022,2500,
Administration,Listing Mileage/Expenses,2023,1000,
Administration,Clerical Mileage,2021,0,191.04
Administration,Clerical Mileage,2022,175,
Administration,Clerical Mileage,2023,200,
Administration,Clerk's /Listers Courses & Training,2021,100,1298.75
Administration,Clerk's /Listers Courses & Training,2022,1000,
Administration,Clerk's /Listers Courses & Training,2023,1000,
Administration,Lister NEMRC Assessor Contract,2021,0,0.0
Administration,Lister NEMRC Assessor Contract,2022,0,
Administration,Lister NEMRC Assessor Contract,2023,18000,
Administration,Lister/ParcelMapping,2021,750,0.0
Administration,Lister/ParcelMapping,2022,0,
Administration,Lister/ParcelMapping,2023,0,
Administration,Copier Lease,2021,2100,1740.0
Administration,Copier Lease,2022,2000,
Administration,Copier Lease,2023,2000,
Administration,Computer Maintenance,2021,14000,20758.6
Administration,Computer Maintenance,2022,19000,
Administration,Computer Maintenance,2023,22000,
Administration,Consultant Fees,2021,0,0.0
Administration,Consultant Fees,2022,0,
Administration,Consultant Fees,2023,0,
Administration,TOTAL ADMINISTRATION,2021,146498,139927.1
Administration,TOTAL ADMINISTRATION,2022,207079,
Administration,TOTAL ADMINISTRATION,2023,217527,
Town Hall,Electricity,2021,2800,3391.91
Town Hall,Electricity,2022,3000,
Town Hall,Electricity,2023,3500,
Town Hall,Heat,2021,2000,1716.29
Town Hall,Heat,2022,1500,
Town Hall,Heat,2023,2000,
Town Hall,Grounds,2021,2500,1194.99
Town Hall,Grounds,2022,1500,
Town Hall,Grounds,2023,960,
Town Hall,Building Repairs,2021,5000,1965.9
Town Hall,Building Repairs,2022,5000,
Town Hall,Building Repairs,2023,2000,
Town Hall,Town Hall Building Fund,2021,10000,10000.0
Town Hall,Town Hall Building Fund,2022,10000,
Town Hall,Town Hall Building Fund,2023,10000,
Town Hall,Street Lights,2021,2000,827.45
Town Hall,Street Lights,2022,2000,
Town Hall,Street Lights,2023,1000,
Town Hall,Janitorial,2021,1500,1325.92
Town Hall,Janitorial,2022,1500,
Town Hall,Janitorial,2023,1500,
Town Hall,TOTAL TOWN HALL,2021,25800,20422.46
Town Hall,TOTAL TOWN HALL,2022,24500,
Town Hall,TOTAL TOWN HALL,2023,20960,
Public Safety,Wages: Health Officer,2021,1040,
Public Safety,Wages: Health Officer,2022,520,
Public Safety,Wages: Health Officer,2023,811,
Public Safety,Wages: Animal Control Officer,2021,1040,170.15
Public Safety,Wages: Animal Control Officer,2022,520,
Public Safety,Wages: Animal Control Officer,2023,676,
Public Safety,P/S : Payroll Tax (SS & MED),2021,159,
Public Safety,P/S : Payroll Tax (SS & MED),2022,80,
Public Safety,P/S : Payroll Tax (SS & MED),2023,114,
Public Safety,P/S: Workers Compensation,2021,94,
Public Safety,P/S: Workers Compensation,2022,38,
Public Safety,P/S: Workers Compensation,2023,7,
Public Safety,Courses/Seminars,2021,100,0.0
Public Safety,Courses/Seminars,2022,0,
Public Safety,Courses/Seminars,2023,0,
Public Safety,Ambulance,2021,67871,70244.0
Public Safety,Ambulance,2022,67871,
Public Safety,Ambulance,2023,72000,
Public Safety,Speed Enforcement,2021,7500,3355.61
Public Safety,Speed Enforcement,2022,7500,
Public Safety,Speed Enforcement,2023,5000,
Public Safety,Dog Pound,2021,600,0.0
Public Safety,Dog Pound,2022,300,
Public Safety,Dog Pound,2023,300,
Public Safety,Emergency Management,2021,1900,0.0
Public Safety,Emergency Management,2022,500,
Public Safety,Emergency Management,2023,500,
Public Safety,TOTAL PUBLIC SAFETY,2021,80304,73769.76
Public Safety,TOTAL PUBLIC SAFETY,2022,77329,
Public Safety,TOTAL PUBLIC SAFETY,2023,79408,
Fire Department,FD-Insurance: Property & Casualty,2021,8395,7528.97
Fire Department,FD-Insurance: Property & Casualty,2022,6871,
Fire Department,FD-Insurance: Property & Casualty,2023,6713,
Fire Department,FD-Insurance: Workers Compensation,2021,1217,1162.07
Fire Department,FD-Insurance: Workers Compensation,2022,1217,
Fire Department,FD-Insurance: Workers Compensation,2023,1217,
Fire Department,FD-Supplies,2021,200,200.6
Fire Department,FD-Supplies,2022,300,
Fire Department,FD-Supplies,2023,400,
Fire Department,FD-Equipment Repair,2021,7000,11928.39
Fire Department,FD-Equipment Repair,2022,10000,
Fire Department,FD-Equipment Repair,2023,10000,
Fire Department,FD-Equipment Purchase,2021,3000,1388.24
Fire Department,FD-Equipment Purchase,2022,4200,
Fire Department,FD-Equipment Purchase,2023,4200,
Fire Department,FD-Telephone,2021,1100,1533.03
Fire Department,FD-Telephone,2022,1560,
Fire Department,FD-Telephone,2023,1560,
Fire Department,FD-Fast Squad,2021,1000,100.0
Fire Department,FD-Fast Squad,2022,1000,
Fire Department,FD-Fast Squad,2023,1000,
Fire Department,FD-Electricity,2021,2000,1712.62
Fire Department,FD-Electricity,2022,2400,
Fire Department,FD-Electricity,2023,2300,
Fire Department,FD-Fuel - Heat,2021,4000,4011.86
Fire Department,FD-Fuel - Heat,2022,4000,
Fire Department,FD-Fuel - Heat,2023,4300,
Fire Department,FD-Building Maintenance,2021,3000,1512.82
Fire Department,FD-Building Maintenance,2022,3000,
Fire Department,FD-Building Maintenance,2023,3000,
Fire Department,FD-Radio Dispatch,2021,26224,26224.04
Fire Department,FD-Radio Dispatch,2022,26630,
Fire Department,FD-Radio Dispatch,2023,28394,
Fire Department,FD-VSFA/Dues/Accounting/Training,2021,1000,633.25
Fire Department,FD-VSFA/Dues/Accounting/Training,2022,1000,
Fire Department,FD-VSFA/Dues/Accounting/Training,2023,1875,
Fire Department,Courses & Seminars,2021,1000,0.0
Fire Department,Courses & Seminars,2022,1000,
Fire Department,Courses & Seminars,2023,300,
Fire Department,FD-Forest Fire Warden,2021,250,0.0
Fire Department,FD-Forest Fire Warden,2022,250,
Fire Department,FD-Forest Fire Warden,2023,250,
Fire Department,FD-GAS & Diesel,2021,2000,381.16
Fire Department,FD-GAS & Diesel,2022,1750,
Fire Department,FD-GAS & Diesel,2023,1200,
Fire Department,FD-Stipends,2021,3000,1210.0
Fire Department,FD-Stipends,2022,3000,
Fire Department,FD-Stipends,2023,18000,
Fire Department,FD-Communication/Radio,2021,1200,0.0
Fire Department,FD-Communication/Radio,2022,1200,
Fire Department,FD-Communication/Radio,2023,1200,
Fire Department,E911 Signs,2021,0,-162.0
Fire Department,E911 Signs,2022,0,
Fire Department,E911 Signs,2023,0,
Fire Department,Turn Out Gear,2021,0,0.0
Fire Department,Turn Out Gear,2022,0,
Fire Department,Turn Out Gear,2023,0,
Fire Department,FD Sub-Total,2021,65586,59365.05
Fire Department,FD Sub-Total,2022,69378,
Fire Department,FD Sub-Total,2023,85909,
Fire Department,Fire Station Bond,2021,40000,40000.0
Fire Department,Fire Station Bond,2022,40000,
Fire Department,Fire Station Bond,2023,40000,
Fire Department,Fire Station Interest,2021,17487,15629.78
Fire Department,Fire Station Interest,2022,15833,
Fire Department,Fire Station Interest,2023,15833,
Fire Department,VTECH Freightliner Tanker - PRIN,2021,14594,14593.43
Fire Department,VTECH Freightliner Tanker - PRIN,2022,14594,
Fire Department,VTECH Freightliner Tanker - PRIN,2023,14594,
Fire Department,VTECH Freightliner Tanker - INT,2021,2629,2974.2
Fire Department,VTECH Freightliner Tanker - INT,2022,2187,
Fire Department,VTECH Freightliner Tanker - INT,2023,1751,
Fire Department,F/D DEBT SERVICE Sub Total,2021,74710,73197.41
Fire Department,F/D DEBT SERVICE Sub Total,2022,72614,
Fire Department,F/D DEBT SERVICE Sub Total,2023,72178,
Fire Department,TOTAL FIRE DEPARTMENT,2021,140296,132562
Fire Department,TOTAL FIRE DEPARTMENT,2022,141992,
Fire Department,TOTAL FIRE DEPARTMENT,2023,158087,
Public Works,Road Salt,2021,13745,3568.33
Public Works,Road Salt,2022,15280,
Public Works,Road Salt,2023,15280,
Public Works,Winter Sand,2021,37500,40967.51
Public Works,Winter Sand,2022,21000,
Public Works,Winter Sand,2023,21000,
Public Works,Trucking,2021,32000,24300.0
Public Works,Trucking,2022,20400,
Public Works,Trucking,2023,25000,
Public Works,Weather Consulting,2021,0,0.0
Public Works,Weather Consulting,2022,600,
Public Works,Weather Consulting,2023,600,
Public Works,WINTER MAINTENANCE SUBTOTAL,2021,83245,68836
Public Works,WINTER MAINTENANCE SUBTOTAL,2022,57280,
Public Works,WINTER MAINTENANCE SUBTOTAL,2023,61880,
Public Works,Seed,2021,3342,1491.75
Public Works,Seed,2022,3342,
Public Works,Seed,2023,2000,
Public Works,Hot Mix/Cold Patch,2021,1000,487.6
Public Works,Hot Mix/Cold Patch,2022,1000,
Public Works,Hot Mix/Cold Patch,2023,1000,
Public Works,Stone Ditch Lining,2021,7000,1025.92
Public Works,Stone Ditch Lining,2022,7812,
Public Works,Stone Ditch Lining,2023,0,
Public Works,"Hay, Mulch, Netting",2021,7200,32.0
Public Works,"Hay, Mulch, Netting",2022,8400,
Public Works,"Hay, Mulch, Netting",2023,0,
Public Works,Road Gravel,2021,14046,24060.77
Public Works,Road Gravel,2022,27171,
Public Works,Road Gravel,2023,40000,
Public Works,Roadside Mowing,2021,18927,6500.0
Public Works,Roadside Mowing,2022,14000,
Public Works,Roadside Mowing,2023,7000,
Public Works,Chloride,2021,16000,16925.49
Public Works,Chloride,2022,21840,
Public Works,Chloride,2023,23000,
Public Works,Rental Equipment,2021,1500,53.54
Public Works,Rental Equipment,2022,3000,
Public Works,Rental Equipment,2023,3000,
Public Works,Tree Service,2021,1000,200.0
Public Works,Tree Service,2022,5000,
Public Works,Tree Service,2023,5000,
Public Works,Green-Up,2021,500,0.0
Public Works,Green-Up,2022,500,
Public Works,Green-Up,2023,500,
Public Works,Storm Water Discharge Fee,2021,1350,1590.0
Public Works,Storm Water Discharge Fee,2022,1350,
Public Works,Storm Water Discharge Fee,2023,1590,
Public Works,Miscellaneous Summer Maintenance,2021,0,3134.0
Public Works,Miscellaneous Summer Maintenance,2022,0,
Public Works,Miscellaneous Summer Maintenance,2023,0,
Public Works,Unforseen Road Repairs,2021,0,0.0
Public Works,Unforseen Road Repairs,2022,5000,
Public Works,Unforseen Road Repairs,2023,0,
Public Works,SUMMER MAINTENANCE SUBTOTAL,2021,71865,55501.07
Public Works,SUMMER MAINTENANCE SUBTOTAL,2022,98415,
Public Works,SUMMER MAINTENANCE SUBTOTAL,2023,83090,
Public Works,Equipment Repairs & Vendors,2021,24000,36914.49
Public Works,Equipment Repairs & Vendors,2022,24000,
Public Works,Equipment Repairs & Vendors,2023,38000,
Public Works,Equipment Parts & Supplies,2021,8500,16963.95
Public Works,Equipment Parts & Supplies,2022,8500,
Public Works,Equipment Parts & Supplies,2023,20000,
Public Works,Plow & Sander Equipment,2021,8000,13967.95
Public Works,Plow & Sander Equipment,2022,8000,
Public Works,Plow & Sander Equipment,2023,8000,
Public Works,Bulk Oil & DEF,2021,5000,2272.35
Public Works,Bulk Oil & DEF,2022,5000,
Public Works,Bulk Oil & DEF,2023,5000,
Public Works,Used Oil Recycling,2021,0,1005.2
Public Works,Used Oil Recycling,2022,0,
Public Works,Used Oil Recycling,2023,0,
Public Works,Inspections,2021,400,133.75
Public Works,Inspections,2022,500,
Public Works,Inspections,2023,750,
Public Works,Towing,2021,0,0.0
Public Works,Towing,2022,0,
Public Works,Towing,2023,2500,
Public Works,Tires,2021,8000,4362.0
Public Works,Tires,2022,9000,
Public Works,Tires,2023,9000,
Public Works,EQUIPMENT MAINTENANCE SUBTOTAL,2021,53900,75619.69
Public Works,EQUIPMENT MAINTENANCE SUBTOTAL,2022,55000,
Public Works,EQUIPMENT MAINTENANCE SUBTOTAL,2023,83250,
Public Works,Trucks,2021,24000,0.0
Public Works,Trucks,2022,0,
Public Works,Trucks,2023,0,
Public Works,Excavator Rental,2021,10000,0.0
Public Works,Excavator Rental,2022,0,
Public Works,Excavator Rental,2023,0,
Public Works,1 Month Wages,2021,6000,0.0
Public Works,1 Month Wages,2022,0,
Public Works,1 Month Wages,2023,0,
Public Works,Sub Contractor,2021,0,22058.25
Public Works,Sub Contractor,2022,20000,
Public Works,Sub Contractor,2023,20000,
Public Works,SPECIALIZED SERVICES SUBTOTAL,2021,40000,22058.25
Public Works,SPECIALIZED SERVICES SUBTOTAL,2022,20000,
Public Works,SPECIALIZED SERVICES SUBTOTAL,2023,20000,
Public Works,"Shop Supplies (Towels, Rags, etc)",2021,1800,6343.82
Public Works,"Shop Supplies (Towels, Rags, etc)",2022,2000,
Public Works,"Shop Supplies (Towels, Rags, etc)",2023,2000,
Public Works,Waste Disposal,2021,1650,1898.73
Public Works,Waste Disposal,2022,1700,
Public Works,Waste Disposal,2023,2000,
Public Works,Air Gas Services,2021,775,443.03
Public Works,Air Gas Services,2022,775,
Public Works,Air Gas Services,2023,775,
Public Works,Vermont State UST Fee,2021,0,0.0
Public Works,Vermont State UST Fee,2022,0,
Public Works,Vermont State UST Fee,2023,0,
Public Works,Fuel Tank Maintenance,2021,1000,0.0
Public Works,Fuel Tank Maintenance,2022,2500,
Public Works,Fuel Tank Maintenance,2023,500,
Public Works,Garage Door Maintenance,2021,500,1628.86
Public Works,Garage Door Maintenance,2022,500,
Public Works,Garage Door Maintenance,2023,500,
Public Works,Office Supplies & Misc,2021,500,840.97
Public Works,Office Supplies & Misc,2022,500,
Public Works,Office Supplies & Misc,2023,500,
Public Works,Small Tool Purchases,2021,3500,3703.87
Public Works,Small Tool Purchases,2022,3500,
Public Works,Small Tool Purchases,2023,1500,
Public Works,Building Maintenance,2021,0,
Public Works,Building Maintenance,2022,0,
Public Works,Building Maintenance,2023,0,
Public Works,GARAGE MAINTENANCE SUBTOTAL,2021,9725,14859.28
Public Works,GARAGE MAINTENANCE SUBTOTAL,2022,11475,
Public Works,GARAGE MAINTENANCE SUBTOTAL,2023,7775,
Public Works,Electricity,2021,4000,2123.71
Public Works,Electricity,2022,4000,
Public Works,Electricity,2023,4000,
Public Works,Heat,2021,5000,6453.36
Public Works,Heat,2022,5000,
Public Works,Heat,2023,6500,
Public Works,Phone,2021,1000,1114.36
Public Works,Phone,2022,1000,
Public Works,Phone,2023,1000,
Public Works,UTILITIES SUBTOTAL,2021,10000,9691.43
Public Works,UTILITIES SUBTOTAL,2022,10000,
Public Works,UTILITIES SUBTOTAL,2023,11500,
Public Works,GAS,2021,55000,32376.19
Public Works,GAS,2022,5500,
Public Works,GAS,2023,5500,
Public Works,Diesel,2021,0,
Public Works,Diesel,2022,49500,
Public Works,Diesel,2023,54500,
Public Works,Gas & Diesel Sub-Total,2021,55000,32376.19
Public Works,Gas & Diesel Sub-Total,2022,55000,
Public Works,Gas & Diesel Sub-Total,2023,60000,
Public Works,Wages,2021,216149,198234.89
Public Works,Wages,2022,224193,
Public Works,Wages,2023,262980,
Public Works,P/W : Payroll Tax (SS & MED),2021,16535,14256.43
Public Works,P/W : Payroll Tax (SS & MED),2022,17151,
Public Works,P/W : Payroll Tax (SS & MED),2023,20118,
Public Works,Unemployment Taxes,2021,519,274.8
Public Works,Unemployment Taxes,2022,519,
Public Works,Unemployment Taxes,2023,465,
Public Works,Retirement,2021,12969,11717.85
Public Works,Retirement,2022,14012,
Public Works,Retirement,2023,17751,
Public Works,Life & ADD& Long Term Disability,2021,1547,1170.49
Public Works,Life & ADD& Long Term Disability,2022,1547,
Public Works,Life & ADD& Long Term Disability,2023,1500,
Public Works,Health Insurance,2021,24927,31704.92
Public Works,Health Insurance,2022,39051,
Public Works,Health Insurance,2023,49945,
Public Works,"Uniforms, Safety Equip, DOT Compliance",2021,7548,8048.47
Public Works,"Uniforms, Safety Equip, DOT Compliance",2022,7548,
Public Works,"Uniforms, Safety Equip, DOT Compliance",2023,5000,
Public Works,Property & Casualty Insurance,2021,12200,11004.1
Public Works,Property & Casualty Insurance,2022,13300,
Public Works,Property & Casualty Insurance,2023,13300,
Public Works,Workers Comp Insurance,2021,19453,14475.87
Public Works,Workers Comp Insurance,2022,16200,
Public Works,Workers Comp Insurance,2023,19855,
Public Works,Mileage Reimbursement,2021,0,236.79
Public Works,Mileage Reimbursement,2022,0,
Public Works,Mileage Reimbursement,2023,0,
Public Works,Courses & Seminars,2021,300,0.0
Public Works,Courses & Seminars,2022,300,
Public Works,Courses & Seminars,2023,300,
Public Works,Wages & Benefits Sub-Total,2021,312147,291124.61
Public Works,Wages & Benefits Sub-Total,2022,333821,
Public Works,Wages & Benefits Sub-Total,2023,391214,
Public Works,Culverts,2021,15848,733.38
Public Works,Culverts,2022,17788,
Public Works,Culverts,2023,14000,
Public Works,Signs,2021,3500,3963.58
Public Works,Signs,2022,4000,
Public Works,Signs,2023,4000,
Public Works,Bridge Fund,2021,6000,6876.6
Public Works,Bridge Fund,2022,6000,
Public Works,Bridge Fund,2023,6000,
Public Works,Paving Fund,2021,30000,30000.0
Public Works,Paving Fund,2022,30000,
Public Works,Paving Fund,2023,20000,
Public Works,Construction & Paving,2021,0,35777.8
Public Works,Construction & Paving,2022,0,
Public Works,Construction & Paving,2023,0,
Public Works,Guardrails,2021,0,10090.0
Public Works,Guardrails,2022,0,
Public Works,Guardrails,2023,5000,
Public Works,Small Equipment Purchase,2021,1500,1246.15
Public Works,Small Equipment Purchase,2022,1500,
Public Works,Small Equipment Purchase,2023,1500,
Public Works,Grants: Town Match,2021,0,0.0
Public Works,Grants: Town Match,2022,0,
Public Works,Grants: Town Match,2023,0,
Public Works,Town Garage Building Fund,2021,5000,5000.0
Public Works,Town Garage Building Fund,2022,5000,
Public Works,Town Garage Building Fund,2023,5000,
Public Works,HWY/MISC Sub-Total,2021,61848,93686.91
Public Works,HWY/MISC Sub-Total,2022,64288,
Public Works,HWY/MISC Sub-Total,2023,55500,
Public Works,Gravel,2021,6000,36797.9
Public Works,Gravel,2022,7000,
Public Works,Gravel,2023,10000,
Public Works,Ditch Stone,2021,1600,205.0
Public Works,Ditch Stone,2022,1600,
Public Works,Ditch Stone,2023,5000,
Public Works,Hydro Seeding,2021,1550,5866.05
Public Works,Hydro Seeding,2022,1750,
Public Works,Hydro Seeding,2023,5000,
Public Works,Ledge Removal,2021,6000,0.0
Public Works,Ledge Removal,2022,6000,
Public Works,Ledge Removal,2023,6000,
Public Works,Erosion Matting,2021,600,169.74
Public Works,Erosion Matting,2022,600,
Public Works,Erosion Matting,2023,600,
Public Works,Mud Season Mitigation,2021,7500,0.0
Public Works,Mud Season Mitigation,2022,0,
Public Works,Mud Season Mitigation,2023,0,
Public Works,CONSTRUCTION SUBTOTAL,2021,23250,43038.69
Public Works,CONSTRUCTION SUBTOTAL,2022,16950,
Public Works,CONSTRUCTION SUBTOTAL,2023,26600,
Public Works,Public Works Sub Total,2021,720980,706592
Public Works,Public Works Sub Total,2022,722229,
Public Works,Public Works Sub Total,2023,800809,
Public Works,2021 John Deere Grader,2021,0,0.0
Public Works,2021 John Deere Grader,2022,0,
Public Works,2021 John Deere Grader,2023,18700,
Public Works,2022 John Deere Grader-INT,2021,0,0.0
Public Works,2022 John Deere Grader-INT,2022,0,
Public Works,2022 John Deere Grader-INT,2023,6872,
Public Works,2019 Freightliner Dump,2021,21409,21408.57
Public Works,2019 Freightliner Dump,2022,21409,
Public Works,2019 Freightliner Dump,2023,21409,
Public Works,2019 Freightliner Dump-INT,2021,4179,4176.89
Public Works,2019 Freightliner Dump-INT,2022,3475,
Public Works,2019 Freightliner Dump-INT,2023,2783,
Public Works,2018 International Dump-PRIN,2021,20355,20354.8
Public Works,2018 International Dump-PRIN,2022,20355,
Public Works,2018 International Dump-PRIN,2023,20355,
Public Works,2018 International Dump-INT,2021,2568,2569.53
Public Works,2018 International Dump-INT,2022,1921,
Public Works,2018 International Dump-INT,2023,1282,
Public Works,P/ W DEBT SERVICE -Sub Total,2021,48511,48509.79
Public Works,P/ W DEBT SERVICE -Sub Total,2022,47161,
Public Works,P/ W DEBT SERVICE -Sub Total,2023,71401,
Public Works,TOTAL HIGHWAY,2021,769491,755102
Public Works,TOTAL HIGHWAY,2022,769390,
Public Works,TOTAL HIGHWAY,2023,872210,
Cemetery,Labor,2021,6900,7515.0
Cemetery,Labor,2022,6900,
Cemetery,Labor,2023,6900,
Cemetery,Materials,2021,0,0.0
Cemetery,Materials,2022,0,
Cemetery,Materials,2023,0,
Cemetery,Repair to Cemetery,2021,0,0.0
Cemetery,Repair to Cemetery,2022,0,
Cemetery,Repair to Cemetery,2023,0,
Cemetery,TOTAL CEMETERY,2021,6900,7515
Cemetery,TOTAL CEMETERY,2022,6900,
Cemetery,TOTAL CEMETERY,2023,6900,
Recreation,Wages: Recreation,2021,5305,4000.6
Recreation,Wages: Recreation,2022,5411,
Recreation,Wages: Recreation,2023,6500,
Recreation,REC: Payroll Tax,2021,406,302.84
Recreation,REC: Payroll Tax,2022,414,
Recreation,REC: Payroll Tax,2023,497,
Recreation,REC:Workers Comp Insurance,2021,318,395.34
Recreation,REC:Workers Comp Insurance,2022,248,
Recreation,REC:Workers Comp Insurance,2023,296,
Recreation,"Dues, Conferences, Travel",2021,250,
Recreation,"Dues, Conferences, Travel",2022,100,
Recreation,"Dues, Conferences, Travel",2023,100,
Recreation,Wrightsville Beach Dues,2021,2750,2712.0
Recreation,Wrightsville Beach Dues,2022,2750,
Recreation,Wrightsville Beach Dues,2023,2750,
Recreation,"Town BOR- mowing, brush hog, aerating",2021,3520,2941.73
Recreation,"Town BOR- mowing, brush hog, aerating",2022,3580,
Recreation,"Town BOR- mowing, brush hog, aerating",2023,4720,
Recreation,"Recreation Supplies (seed, soil, fertilizer)",2021,500,11.99
Recreation,"Recreation Supplies (seed, soil, fertilizer)",2022,500,
Recreation,"Recreation Supplies (seed, soil, fertilizer)",2023,500,
Recreation,Portalet Rental Recreation field,2021,600,566.5
Recreation,Portalet Rental Recreation field,2022,600,
Recreation,Portalet Rental Recreation field,2023,900,
Recreation,Learn to Swim Program,2021,500,0.0
Recreation,Learn to Swim Program,2022,500,
Recreation,Learn to Swim Program,2023,600,
