section,line_item,fiscal_year,budgeted,actual
GENERAL GOVERNMENT,Wages: Selectboard,2018,3277,3300
GENERAL GOVERNMENT,Wages: Selectboard,2019,3434,
GENERAL GOVERNMENT,Wages: Selectboard,2020,3536,
GENERAL GOVERNMENT,Wages: Selectboard Clerk,2018,20032,20144
GENERAL GOVERNMENT,Wages: Selectboard Clerk,2019,20547,
GENERAL GOVERNMENT,Wages: Selectboard Clerk,2020,21382,
GENERAL GOVERNMENT,Wages: Payroll Tax(SS&MED),2018,1779,2023
GENERAL GOVERNMENT,Wages: Payroll Tax(SS&MED),2019,1834,
GENERAL GOVERNMENT,Wages: Payroll Tax(SS&MED),2020,2177,
GENERAL GOVERNMENT,Wages: Retirement,2018,1102,382
GENERAL GOVERNMENT,Wages: Retirement,2019,1130,
GENERAL GOVERNMENT,Wages: Retirement,2020,1229,
GENERAL GOVERNMENT,Insurance: Health,2018,7500,7880
GENERAL GOVERNMENT,Insurance: Health,2019,5876,
GENERAL GOVERNMENT,Insurance: Health,2020,6768,
GENERAL GOVERNMENT,Insurance: Property & Casuality,2018,9000,9349
GENERAL GOVERNMENT,Insurance: Property & Casuality,2019,9825,
GENERAL GOVERNMENT,Insurance: Property & Casuality,2020,10296,
GENERAL GOVERNMENT,Insurance: Workers Compensation,2018,400,974
GENERAL GOVERNMENT,Insurance: Workers Compensation,2019,386,
GENERAL GOVERNMENT,Insurance: Workers Compensation,2020,1000,
GENERAL GOVERNMENT,Insurance: Unemployment Comp,2018,100,87
GENERAL GOVERNMENT,Insurance: Unemployment Comp,2019,154,
GENERAL GOVERNMENT,Insurance: Unemployment Comp,2020,154,
GENERAL GOVERNMENT,Advertising/Printing,2018,1500,724
GENERAL GOVERNMENT,Advertising/Printing,2019,1500,
GENERAL GOVERNMENT,Advertising/Printing,2020,1250,
GENERAL GOVERNMENT,Selectboard Courses,2018,0,205
GENERAL GOVERNMENT,Selectboard Courses,2019,0,
GENERAL GOVERNMENT,Selectboard Courses,2020,200,
GENERAL GOVERNMENT,Town Property Maintenance,2018,0,2081
GENERAL GOVERNMENT,Town Property Maintenance,2019,0,
GENERAL GOVERNMENT,Town Property Maintenance,2020,2000,
GENERAL GOVERNMENT,Welch Park,2018,0,2453
GENERAL GOVERNMENT,Welch Park,2019,1000,
GENERAL GOVERNMENT,Welch Park,2020,1000,
GENERAL GOVERNMENT,Discretionary Fund,2018,5000,0
GENERAL GOVERNMENT,Discretionary Fund,2019,5000,
GENERAL GOVERNMENT,Discretionary Fund,2020,8000,
GENERAL GOVERNMENT,Legal Fees,2018,4000,2733
GENERAL GOVERNMENT,Legal Fees,2019,4000,
GENERAL GOVERNMENT,Legal Fees,2020,3000,
GENERAL GOVERNMENT,Town Report,2018,2900,2859
GENERAL GOVERNMENT,Town Report,2019,2950,
GENERAL GOVERNMENT,Town Report,2020,3000,
GENERAL GOVERNMENT,VLCT Dues,2018,2953,2953
GENERAL GOVERNMENT,VLCT Dues,2019,3017,
GENERAL GOVERNMENT,VLCT Dues,2020,3097,
GENERAL GOVERNMENT,County Tax,2018,16924,16924
GENERAL GOVERNMENT,County Tax,2019,17401,
GENERAL GOVERNMENT,County Tax,2020,18149,
GENERAL GOVERNMENT,CV Solid Waste,2018,1757,1756
GENERAL GOVERNMENT,CV Solid Waste,2019,1757,
GENERAL GOVERNMENT,CV Solid Waste,2020,1757,
GENERAL GOVERNMENT,CV Reg Planning Comm,2018,1904,1904
GENERAL GOVERNMENT,CV Reg Planning Comm,2019,1956,
GENERAL GOVERNMENT,CV Reg Planning Comm,2020,2077,
GENERAL GOVERNMENT,Conservation Commission,2018,500,100
GENERAL GOVERNMENT,Conservation Commission,2019,500,
GENERAL GOVERNMENT,Conservation Commission,2020,500,
GENERAL GOVERNMENT,Elections,2018,600,1246
GENERAL GOVERNMENT,Elections,2019,2500,
GENERAL GOVERNMENT,Elections,2020,1500,
GENERAL GOVERNMENT,Misc Expense,2018,0,418
GENERAL GOVERNMENT,Misc Expense,2019,0,
GENERAL GOVERNMENT,Misc Expense,2020,500,
GENERAL GOVERNMENT,Building Fund,2018,0,0
GENERAL GOVERNMENT,Building Fund,2019,0,
GENERAL GOVERNMENT,Building Fund,2020,10000,
GENERAL GOVERNMENT,Tax Abatements,2018,0,0
GENERAL GOVERNMENT,Tax Abatements,2019,0,
GENERAL GOVERNMENT,Tax Abatements,2020,0,
GENERAL GOVERNMENT,TOTAL GENERAL GOVERNMENT,2018,81228,80495
GENERAL GOVERNMENT,TOTAL GENERAL GOVERNMENT,2019,84767,
GENERAL GOVERNMENT,TOTAL GENERAL GOVERNMENT,2020,102572,
ADMINISTRATION,"Office: Wages (Clerk,Ass't Clerk,Treas,Bookeeper)",2018,45000,47796
ADMINISTRATION,"Office: Wages (Clerk,Ass't Clerk,Treas,Bookeeper)",2019,51709,
ADMINISTRATION,"Office: Wages (Clerk,Ass't Clerk,Treas,Bookeeper)",2020,54464,
ADMINISTRATION,O/S: Payroll Tax (SS&MED),2018,3433,3992
ADMINISTRATION,O/S: Payroll Tax (SS&MED),2019,3956,
ADMINISTRATION,O/S: Payroll Tax (SS&MED),2020,4167,
ADMINISTRATION,O/S: Retirement,2018,1102,1819
ADMINISTRATION,O/S: Retirement,2019,1087,
ADMINISTRATION,O/S: Retirement,2020,1183,
ADMINISTRATION,O/S: Unemployment,2018,0,17
ADMINISTRATION,O/S: Unemployment,2019,211,
ADMINISTRATION,O/S: Unemployment,2020,211,
ADMINISTRATION,O/S Insurance: Health,2018,7500,6898
ADMINISTRATION,O/S Insurance: Health,2019,5645,
ADMINISTRATION,O/S Insurance: Health,2020,6548,
ADMINISTRATION,O/S Insurance: Life/LTD/AD&D,2018,480,222
ADMINISTRATION,O/S Insurance: Life/LTD/AD&D,2019,371,
ADMINISTRATION,O/S Insurance: Life/LTD/AD&D,2020,371,
ADMINISTRATION,O/S Insurance: Workers Comp,2018,0,0
ADMINISTRATION,O/S Insurance: Workers Comp,2019,386,
ADMINISTRATION,O/S Insurance: Workers Comp,2020,406,
ADMINISTRATION,Listers: Wages,2018,7500,11071
ADMINISTRATION,Listers: Wages,2019,12219,
ADMINISTRATION,Listers: Wages,2020,14420,
ADMINISTRATION,Listers Payroll Tax (SS&MED),2018,1050,935
ADMINISTRATION,Listers Payroll Tax (SS&MED),2019,1103,
ADMINISTRATION,Listers Payroll Tax (SS&MED),2020,1103,
ADMINISTRATION,Delinquent Tax Collector: Wages,2018,0,2510
ADMINISTRATION,Delinquent Tax Collector: Wages,2019,2060,
ADMINISTRATION,Delinquent Tax Collector: Wages,2020,2060,
ADMINISTRATION,Del Tax Collector: Payroll Taxes,2018,0,211
ADMINISTRATION,Del Tax Collector: Payroll Taxes,2019,158,
ADMINISTRATION,Del Tax Collector: Payroll Taxes,2020,158,
ADMINISTRATION,Clerical Mileage,2018,0,0
ADMINISTRATION,Clerical Mileage,2019,0,
ADMINISTRATION,Clerical Mileage,2020,0,
ADMINISTRATION,Office Supplies,2018,3500,2741
ADMINISTRATION,Office Supplies,2019,3500,
ADMINISTRATION,Office Supplies,2020,3500,
ADMINISTRATION,Telephone,2018,4800,4512
ADMINISTRATION,Telephone,2019,4800,
ADMINISTRATION,Telephone,2020,4800,
ADMINISTRATION,Postage,2018,3000,2754
ADMINISTRATION,Postage,2019,3000,
ADMINISTRATION,Postage,2020,3000,
ADMINISTRATION,Auditing,2018,7200,7159
ADMINISTRATION,Auditing,2019,7200,
ADMINISTRATION,Auditing,2020,7400,
ADMINISTRATION,Listing Mileage/Expenses,2018,2500,4536
ADMINISTRATION,Listing Mileage/Expenses,2019,2500,
ADMINISTRATION,Listing Mileage/Expenses,2020,2500,
ADMINISTRATION,Clerk's Office Seminars,2018,300,0
ADMINISTRATION,Clerk's Office Seminars,2019,300,
ADMINISTRATION,Clerk's Office Seminars,2020,300,
ADMINISTRATION,Listing Mapping,2018,750,0
ADMINISTRATION,Listing Mapping,2019,750,
ADMINISTRATION,Listing Mapping,2020,750,
ADMINISTRATION,Copier Lease,2018,2100,1946
ADMINISTRATION,Copier Lease,2019,2100,
ADMINISTRATION,Copier Lease,2020,2100,
ADMINISTRATION,Computer Maintenance,2018,5000,24088
ADMINISTRATION,Computer Maintenance,2019,5000,
ADMINISTRATION,Computer Maintenance,2020,10000,
ADMINISTRATION,Land Acquisition,2018,0,0
ADMINISTRATION,Land Acquisition,2019,0,
ADMINISTRATION,Land Acquisition,2020,0,
ADMINISTRATION,Sub Total Admin,2018,95215,119551
ADMINISTRATION,Sub Total Admin,2019,108390,
ADMINISTRATION,Sub Total Admin,2020,119441,
ADMINISTRATION,ACS Recording Loan,2018,960,0
ADMINISTRATION,ACS Recording Loan,2019,0,
ADMINISTRATION,ACS Recording Loan,2020,0,
ADMINISTRATION,ACS Recording Interest,2018,84,0
ADMINISTRATION,ACS Recording Interest,2019,0,
ADMINISTRATION,ACS Recording Interest,2020,0,
ADMINISTRATION,TOTAL ADMINISTRATION,2018,96259,119551
ADMINISTRATION,TOTAL ADMINISTRATION,2019,108390,
ADMINISTRATION,TOTAL ADMINISTRATION,2020,119441,
TOWN HALL,Electricity,2018,2226,2629
TOWN HALL,Electricity,2019,2250,
TOWN HALL,Electricity,2020,2700,
TOWN HALL,Heat,2018,2000,1829
TOWN HALL,Heat,2019,2000,
TOWN HALL,Heat,2020,2000,
TOWN HALL,Grounds,2018,2500,1245
TOWN HALL,Grounds,2019,2500,
TOWN HALL,Grounds,2020,2500,
TOWN HALL,Building Repairs,2018,3500,3889
TOWN HALL,Building Repairs,2019,3500,
TOWN HALL,Building Repairs,2020,5000,
