section,line_item,fiscal_year,budgeted,actual
General Government,Wages: Selectboard,2023,4566,4101.01
General Government,Wages: Selectboard,2024,3864,
General Government,Wages: Selectboard,2025,4018,
General Government,Wages: Selectboard Clerk,2023,28221,28617.14
General Government,Wages: Selectboard Clerk,2024,29633,
General Government,Wages: Selectboard Clerk,2025,30814,
General Government,Wages: Payroll Tax(SS&MED&ACT76),2023,2508,2501.0
General Government,Wages: Payroll Tax(SS&MED&ACT76),2024,2562,
General Government,Wages: Payroll Tax(SS&MED&ACT76),2025,2818,
General Government,Wages: Retirement,2023,1905,1858.4
General Government,Wages: Retirement,2024,2000,
General Government,Wages: Retirement,2025,2157,
General Government,Insurance: Health,2023,9776,8876.51
General Government,Insurance: Health,2024,8183,
General Government,Insurance: Health,2025,6273,
General Government,Insurance: Property & Casuality,2023,8538,5609.75
General Government,Insurance: Property & Casuality,2024,8538,
General Government,Insurance: Property & Casuality,2025,8538,
General Government,Insurance: Workers Compensation,2023,130,-1204.75
General Government,Insurance: Workers Compensation,2024,145,
General Government,Insurance: Workers Compensation,2025,370,
General Government,Insurance: Unemployment Comp,2023,116,0.0
General Government,Insurance: Unemployment Comp,2024,116,
General Government,Insurance: Unemployment Comp,2025,70,
General Government,Advertising/Printing,2023,1000,422.1
General Government,Advertising/Printing,2024,1000,
General Government,Advertising/Printing,2025,1000,
General Government,Selectboard Courses,2023,0,20.0
General Government,Selectboard Courses,2024,0,
General Government,Selectboard Courses,2025,0,
General Government,Town Email,2023,1000,1090.18
General Government,Town Email,2024,1350,
General Government,Town Email,2025,1350,
General Government,Town Property Maintenance,2023,1000,80.83
General Government,Town Property Maintenance,2024,1000,
General Government,Town Property Maintenance,2025,175,
General Government,Welch Park,2023,500,618.32
General Government,Welch Park,2024,1000,
General Government,Welch Park,2025,0,
General Government,Discretionary Fund,2023,4028,333.48
General Government,Discretionary Fund,2024,4000,
General Government,Discretionary Fund,2025,4000,
General Government,Legal Fees,2023,3000,4527.5
General Government,Legal Fees,2024,7500,
General Government,Legal Fees,2025,5000,
General Government,Town Report,2023,3000,2799.15
General Government,Town Report,2024,4000,
General Government,Town Report,2025,4000,
General Government,VLCT Dues,2023,3224,3329.0
General Government,VLCT Dues,2024,3443,
General Government,VLCT Dues,2025,3500,
General Government,County Tax,2023,19256,19256.0
General Government,County Tax,2024,20573,
General Government,County Tax,2025,20573,
General Government,CV Solid Waste,2023,1724,1779.0
General Government,CV Solid Waste,2024,1724,
General Government,CV Solid Waste,2025,1800,
General Government,CV Reg Planning Comm,2023,2366,2366.07
General Government,CV Reg Planning Comm,2024,2366,
General Government,CV Reg Planning Comm,2025,2366,
General Government,Conservation Commission,2023,500,383.74
General Government,Conservation Commission,2024,500,
General Government,Conservation Commission,2025,500,
General Government,Elections,2023,2000,3696.0
General Government,Elections,2024,2500,
General Government,Elections,2025,2000,
General Government,Misc Expense,2023,500,0.0
General Government,Misc Expense,2024,250,
General Government,Misc Expense,2025,250,
General Government,Grant Matches,2023,2000,2329.3
General Government,Grant Matches,2024,2000,
General Government,Grant Matches,2025,2500,
General Government,Covid-19,2023,0,5295.74
General Government,Covid-19,2024,0,
General Government,Covid-19,2025,0,
General Government,FY24 Flood Recovery Debt Service-Principal,2023,0,0.0
General Government,FY24 Flood Recovery Debt Service-Principal,2024,0,
General Government,FY24 Flood Recovery Debt Service-Principal,2025,0,
General Government,FY24 Flood Recovery Debt Service-Interest,2023,0,0.0
General Government,FY24 Flood Recovery Debt Service-Interest,2024,0,
General Government,FY24 Flood Recovery Debt Service-Interest,2025,60000,
General Government,Tax Abatements,2023,0,39.95
General Government,Tax Abatements,2024,0,
General Government,Tax Abatements,2025,7000,
Administration,"Office: Wages (Clerk,Ass’t Clerk,Treas,Bookeeper)",2023,84914,84789.55
Administration,"Office: Wages (Clerk,Ass’t Clerk,Treas,Bookeeper)",2024,90764,
Administration,"Office: Wages (Clerk,Ass’t Clerk,Treas,Bookeeper)",2025,94396,
Administration,Listers: Wages,2023,21216,10936.8
Administration,Listers: Wages,2024,28357,
Administration,Listers: Wages,2025,18750,
Administration,Delinquent Tax Collector: Wages,2023,2912,0.0
Administration,Delinquent Tax Collector: Wages,2024,2912,
Administration,Delinquent Tax Collector: Wages,2025,2912,
Administration,ADMIN: Payroll Tax (SS&MED&ACT76),2023,8342,7127.81
Administration,ADMIN: Payroll Tax (SS&MED&ACT76),2024,9336,
Administration,ADMIN: Payroll Tax (SS&MED&ACT76),2025,9389,
Administration,ADMIN: Unemployment,2023,281,156.74
Administration,ADMIN: Unemployment,2024,116,
Administration,ADMIN: Unemployment,2025,175,
Administration,ADMIN: Retirement,2023,5221,6256.98
Administration,ADMIN: Retirement,2024,5482,
Administration,ADMIN: Retirement,2025,5912,
Administration,ADMIN:Insurance: Life/LTD/AD&D,2023,840,683.94
Administration,ADMIN:Insurance: Life/LTD/AD&D,2024,840,
Administration,ADMIN:Insurance: Life/LTD/AD&D,2025,816,
Administration,ADMIN: Insurance: Health,2023,28560,27108.49
Administration,ADMIN: Insurance: Health,2024,28804,
Administration,ADMIN: Insurance: Health,2025,29276,
Administration,ADMIN: Insurance: Workers Comp,2023,541,81.91
Administration,ADMIN: Insurance: Workers Comp,2024,598,
